family,display_name,node_id,source_url,source_sha256,page_version_badge,inputs,outputs,dynamic_inputs,defaults,animation,arrays_groups,errors,resources,edge_behavior,build_availability,status,prerequisite,fixture
3d,Ambient Occlusion,Node_Ambient_Occlusion,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/ambient_occlusion.html,b538007dd8c6ac600e4027cf172c86d7e191d59277338fb75ac962fde633a387,1.18.0,"[{""type"":""surface"",""name"":""Height Map""},{""type"":""float"",""name"":""Height""},{""type"":""slider"",""name"":""Intensity""},{""type"":""bool"",""name"":""Pixel Sweep""},{""type"":""bool"",""name"":""Blend Original""},{""type"":""enum"",""name"":""Blendmode""},{""type"":""slider"",""name"":""Blend Strength""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Bevel,Node_Bevel,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/bevel.html,959f3d21461426b8a993e44bf9d541e1120b50ad3edbfb0fa2a2a333115a18a8,pre 1.18,"[{""type"":""enum"",""name"":""Oversample Mode""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""enum"",""name"":""Slope""},{""type"":""int"",""name"":""Height""},{""type"":""bool"",""name"":""Highres""},{""type"":""vec2"",""name"":""Shift""},{""type"":""vec2"",""name"":""Scale""},{""type"":""bool"",""name"":""Shift Multiply""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Normal,Node_Normal,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/normal.html,e7c9e9ad1b3879d95142b4f13a3c7147f7036675de468026e528b68a6fa4a244,pre 1.18,"[{""type"":""surface"",""name"":""Surface In""},{""type"":""float"",""name"":""Height""},{""type"":""slider"",""name"":""Smooth""},{""type"":""bool"",""name"":""Trim Flat""},{""type"":""slider"",""name"":""Mix""},{""type"":""bool"",""name"":""Flip X""},{""type"":""bool"",""name"":""Flip Y""},{""type"":""bool"",""name"":""Normalize""},{""type"":""bool"",""name"":""Solid Bg""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Adjust Normal,Node_Normal_Adjust,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/normal_adjust.html,d3f47a356bc7a4255403f6c5114201567c2d76e71c0bb78038ccb83312920bd1,pre 1.18,"[{""type"":""surface"",""name"":""Normal""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Intensity""},{""type"":""rot"",""name"":""Rotate""},{""type"":""vec3"",""name"":""Scale""},{""type"":""bool"",""name"":""Normalize""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Blend Normal,Node_Normal_Blend,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/normal_blend.html,73bbc441f55417f43a3bc98b1ab3c5494687c09b6755f309253bb7f2e11d2200,pre 1.18,"[{""type"":""enum"",""name"":""Blend Mode""},{""type"":""slider"",""name"":""Intensity""},{""type"":""bool"",""name"":""Normalize""},{""type"":""surface"",""name"":""Normal 1""},{""type"":""vec2"",""name"":""Position 1""},{""type"":""anchor"",""name"":""Anchor 1""},{""type"":""rot"",""name"":""Rotation 1""},{""type"":""vec2"",""name"":""Scale 1""},{""type"":""surface"",""name"":""Surface 2""},{""type"":""vec2"",""name"":""Position 2""},{""type"":""anchor"",""name"":""Anchor 2""},{""type"":""rot"",""name"":""Rotation 2""},{""type"":""vec2"",""name"":""Scale 2""},{""type"":""surface"",""name"":""Mask""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Normal Light,Node_Normal_Light,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/normal_light.html,0b94d1424c49c70bd2cc62262d0e2970b6ec96ecc672062d09bc0c6d30bd1289,pre 1.18,"[{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Normal Map""},{""type"":""color"",""name"":""Ambient""},{""type"":""bool"",""name"":""Keep Alpha""},{""type"":""surface"",""name"":""Height Map""},{""type"":""float"",""name"":""Height""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Light Only""}]","[{""type"":""enum"",""name"":""Type""},{""type"":""vec2"",""name"":""Position""},{""type"":""float"",""name"":""Distance""},{""type"":""vec2"",""name"":""End Position""},{""type"":""float"",""name"":""End Distance""},{""type"":""float"",""name"":""Range""},{""type"":""float"",""name"":""Intensity""},{""type"":""color"",""name"":""Color""},{""type"":""color"",""name"":""End Color""},{""type"":""enum"",""name"":""Attenuation""},{""type"":""curve"",""name"":""Attencurve""},{""type"":""islider"",""name"":""Radial Banding""},{""type"":""rotation"",""name"":""Radial Start""},{""type"":""slider"",""name"":""Radial Band Ratio""},{""type"":""slider"",""name"":""Radial Shadow""},{""type"":""islider"",""name"":""Banding""}]",unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Normal to Height,Node_Normal_to_Height,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/normal_to_height.html,bcd499efd1286896f00069f2ce0f659cb6f9d576978b6121af233aa82c8a8830,pre 1.18,"[{""type"":""surface"",""name"":""Normal In""},{""type"":""float"",""name"":""Normal Height""},{""type"":""slider"",""name"":""Base Height""},{""type"":""int"",""name"":""Max Itr.""},{""type"":""toggle"",""name"":""Sweep Direction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Pixel Bevel,Node_PB_FX_Bevel,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/pb_fx_bevel.html,f82fb5368d21d4a9e14ffe49322e8f388f846fee9069e6f6e82d53aa7a6f32f2,pre 1.18,"[{""type"":""surface"",""name"":""Surface""},{""type"":""int"",""name"":""Height""},{""type"":""gradient"",""name"":""Color Over Height""},{""type"":""gradient"",""name"":""Color Over Angle""},{""type"":""rotation"",""name"":""Shift Angle""},{""type"":""bool"",""name"":""Highlight""},{""type"":""color"",""name"":""Highlight Color""},{""type"":""rotation"",""name"":""Highlight Direction""},{""type"":""bool"",""name"":""Highlight All""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Inner Area""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Sprite Stack,Node_Sprite_Stack,https://docs.pixel-composer.com/nodes/3d/2d_operation/filter/sprite_stack.html,0126cf3c57da3669d99f32166e77a486d31e4cfb58ff86ed10010d43d3700b0f,pre 1.18,"[{""type"":""surface"",""name"":""Base Shape""},{""type"":""enum"",""name"":""Output Dimension Type""},{""type"":""vec2"",""name"":""Dimension""},{""type"":""vec2"",""name"":""Relative Dimension""},{""type"":""enum"",""name"":""Array Process""},{""type"":""int"",""name"":""Stack Amount""},{""type"":""vec2"",""name"":""Stack Shift""},{""type"":""bool"",""name"":""Move Base""},{""type"":""vec2"",""name"":""Position""},{""type"":""rotation"",""name"":""Rotation""},{""type"":""color"",""name"":""Stack Blend""},{""type"":""slider"",""name"":""Alpha End""},{""type"":""enum"",""name"":""Highlight""},{""type"":""color"",""name"":""Highlight Color""},{""type"":""slider"",""name"":""Highlight Alpha""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
3d,Heightmap Project 3D,Node_Heightmap_Project_3D,https://docs.pixel-composer.com/nodes/3d/2d_operation/projectors/heightmap_project_3d.html,335523113b6afd3e50197afc96fcc0f4fdac9eb4570dce7cda7625bd00ac8f6b,pre 1.18,"[{""type"":""vec2"",""name"":""Dimension""},{""type"":""surface"",""name"":""Heightmap""},{""type"":""surface"",""name"":""Texture""},{""type"":""surface"",""name"":""Texture Side""},{""type"":""surface"",""name"":""Texture Front""},{""type"":""vec3"",""name"":""View Angle""},{""type"":""vec3"",""name"":""Position""},{""type"":""enum"",""name"":""Projection""},{""type"":""slider"",""name"":""Fov""},{""type"":""float"",""name"":""Distance""},{""type"":""float"",""name"":""Scale""},{""type"":""range"",""name"":""Height Range""},{""type"":""bool"",""name"":""Tiled""},{""type"":""gradient"",""name"":""Height Color""},{""type"":""bool"",""name"":""Normalize Height""},{""type"":""range"",""name"":""Depth Range""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Depth Pass""},{""type"":""surface"",""name"":""Normal Pass""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
