workflow,official_reference,acceptance_path,reference_fixture,reference_capture,status,prerequisite
Project creation and settings,https://docs.pixel-composer.com/getting_started.html,Create project; set dimensions and animation settings; save and reopen with matching values,unrecorded,supplied media: 005_nodes.png; observation only,blocked,M0 reference executable and project fixture
Collections and assets,https://docs.pixel-composer.com/interfaces/collection_panel.html,Import and organize assets; link into graph; save and reopen with stable references,unrecorded,supplied media: 005_nodes.png; observation only,blocked,M0 reference executable and asset fixture
Node discovery,https://docs.pixel-composer.com/interfaces/nodes_panel.html,Search every documented node and place it on graph canvas,unrecorded,supplied media: 005_nodes.png; observation only,blocked,M0 reference executable and node inventory reconciliation
Graph canvas,https://docs.pixel-composer.com/interfaces/graph_panel.html,Create move connect disconnect and delete nodes; save and reopen layout and links,unrecorded,supplied media: 005_nodes.png; 008_3d.png; 001_effect_2.gif; 006_effects.gif; 007_simulation.gif; observation only,blocked,M0 reference executable and graph fixture
Typed junctions,https://docs.pixel-composer.com/nodes/junctions.html,Exercise compatible and incompatible links with matching diagnostics,unrecorded,unrecorded,blocked,M0 reference executable and typed-port fixtures
Arrays,https://docs.pixel-composer.com/nodes/array_processor.html,Create nested array inputs with Spread Array off/on; run two unequal arrays through Loop Hold Expand and Expand Inverse; inspect ordered outputs and bounded overflow diagnostics,native nested Spread/index and Height Blend four-mode fixtures pass; remaining processors unrecorded,unrecorded,blocked,extend modes to remaining supported processors; resolve unequal-length Expand Inverse source/docs discrepancy; controlled reference fixture unavailable
Groups and subgraphs,https://docs.pixel-composer.com/nodes/,Create group and inline group with inputs and outputs; reopen and evaluate graph,unrecorded,unrecorded,blocked,M0 reference executable and group fixture
Inspector and properties,https://docs.pixel-composer.com/interfaces/inspector_panel.html,Edit documented inputs and attributes; inspect resulting graph output and saved values,unrecorded,supplied media: 005_nodes.png; 008_3d.png; 006_effects.gif; 007_simulation.gif; observation only,blocked,M0 reference executable and property fixture
Palette editor,https://docs.pixel-composer.com/interfaces/color_selector/palette_editor.html,Create and edit a palette; apply it to a node; verify saved colors and output,unrecorded,supplied media: 005_nodes.png; observation only,blocked,M0 reference executable and palette fixture
Gradient editor,https://docs.pixel-composer.com/interfaces/color_selector/gradient_editor.html,Create and edit gradient stops; apply to graph; verify saved stops and output,unrecorded,unrecorded,blocked,M0 reference executable and gradient fixture
2D preview,https://docs.pixel-composer.com/interfaces/preview_panel.html,Inspect selected 2D outputs across zoom and frame changes; compare captured pixels,unrecorded,supplied media: 005_nodes.png; 001_effect_2.gif; 006_effects.gif; 007_simulation.gif; observation only,blocked,M0 reference executable and image fixture
3D preview,https://docs.pixel-composer.com/interfaces/preview_panel_3D.html,Inspect controlled 3D scene at fixed camera and render settings; compare capture,unrecorded,supplied media: 008_3d.png; observation only,blocked,M0 reference executable and 3D fixture
Timeline and keyframes,https://docs.pixel-composer.com/interfaces/animation_panel.html,Set keyframes and seek across start middle end and wrap; capture parameter and output values,unrecorded,supplied media: 005_nodes.png; 001_effect_2.gif; 006_effects.gif; 007_simulation.gif; observation only,blocked,"native v4 fixed-tick legacy and source-side easing with bounded hold/loop/ping/wrap tracks; Studio timeline authoring and executable reference comparison remain"
Animation drivers,https://docs.pixel-composer.com/animations/driver.html,Bind driver and evaluate its documented frame behavior,unrecorded,unrecorded,blocked,M0 reference executable and driver fixture
Animation looping,https://docs.pixel-composer.com/animations/looping.html,Exercise supported playback modes at boundaries and fractional frames,unrecorded,unrecorded,blocked,"native bounded pure loop/stop/pingpong schedule and rounded seek fixtures; Studio playback, unrounded fractional frames and executable reference comparison remain"
Batch export,https://docs.pixel-composer.com/exporting.html,Export still sequence and animation with documented formats and frame selection,native imagegraph runner PNG frame bundle with deterministic manifest and rollback tests; Pixel Composer fixture unrecorded,supplied media: 006_effects.gif; observation only,blocked,other documented formats and animation export behavior; Node_Export mapping; controlled executable comparison
Headless CLI,https://docs.pixel-composer.com/misc/command_line.html,Run saved export project headlessly with globals; compare files and exit behavior,unrecorded,unrecorded,blocked,M0 reference executable and CLI fixture
Scripting and expressions,https://docs.pixel-composer.com/scriptings/index.html,Exercise expression Lua HLSL and shell nodes under declared host policy,unrecorded,unrecorded,blocked,M0 reference executable and scripting fixtures
Diagnostics and profiling,https://docs.pixel-composer.com/misc/console_command.html,Trigger invalid graph and runtime error; capture diagnostics and profiler controls,unrecorded,unrecorded,blocked,M0 reference executable and diagnostic fixture
Tilesets and project IO,https://docs.pixel-composer.com/nodes/io/tileset/,Create tileset export and reopen via project IO; compare structure and image,unrecorded,unrecorded,blocked,M0 reference executable and tileset fixture
